file,company,ticker,cik,status,buyer,acquirer,data_quality,deal_type,payment_type,announcement_date,board_rec_date,tender_exp_date,close_date,ann_year,per_share_upfront,max_per_share_cvr,has_cvr,shares_out,implied_equity_value_m,ann_to_close_days,ann_to_tender_days,currency,premium_override,override_source,unaffected_close,last_pre_close,premium_to_unaffected,premium_to_last,runup_4wk_pct,pct_premium_pre_captured,vol_ratio_4wk,n_price_weeks
turning_point_therapeutics_inc_TPTX.md,"Turning Point Therapeutics, Inc.",TPTX,1595893,completed,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,ok,tender offer,cash,2022-06-03,2022-06-02,2022-08-15,2022-08-17,2022,76.0,76.0,False,49796897.0,3784.6,75,73,USD,False,,26.8,36.16,1.8358,1.1018,0.3493,0.1902,1.03,116
turnstone_biologics_corp_TSBX.md,Turnstone Biologics Corp.,TSBX,1764974,completed,XOMA Royalty Corporation,XOMA Royalty Corporation,ok,tender offer,cash,2025-06-27,2025-06-26,2025-08-07,2025-08-11,2025,0.34,0.39,True,23140691.0,7.9,45,41,USD,False,,0.33,0.37,0.0303,-0.0811,0.1212,4.0,6.58,109
usana_health_sciences_inc_USNA.md,"USANA HEALTH SCIENCES, INC.",USNA,896264,pending,"Gull Holdings, Ltd.",Gull-Unity Holding Corp.,ok,tender offer,cash,2008-05-13,,2008-06-27,,2008,26.0,26.0,False,16392384.0,426.2,,45,USD,False,,21.08,21.45,0.2334,0.2121,0.0176,0.0752,1.13,118
vectivbio_holding_ag_VECT.md,VectivBio Holding AG,VECT,1836379,pending,"Ironwood Pharmaceuticals, Inc.","Ironwood Pharmaceuticals, Inc.",ok,tender offer,cash,2023-05-22,2023-05-21,2023-06-28,,2023,17.0,17.0,False,62806038.0,1067.7,,37,USD,False,,10.88,11.9,0.5625,0.4286,0.0938,0.1667,1.3,111
verve_therapeutics_inc_VERV.md,"Verve Therapeutics, Inc.",VERV,1840574,completed,Ridgeway Acquisition Corporation,Eli Lilly and Company,ok,tender offer,cash,2025-06-17,2025-06-16,2025-07-23,2025-07-25,2025,10.5,13.5,True,89320995.0,937.9,38,36,USD,False,,4.63,6.16,1.2678,0.7045,0.3305,0.2606,0.72,110
viela_bio_inc_VIE.md,"Viela Bio, Inc.",VIE,1734517,completed,"Horizon Therapeutics USA, Inc.",Horizon Therapeutics plc,ok,tender offer,cash,2021-02-01,2021-01-31,2021-03-12,2021-03-15,2021,53.0,53.0,False,54904033.0,2909.9,42,39,USD,False,,35.97,34.68,0.4735,0.5283,-0.0359,-0.0757,0.58,77
virbac_corp_VBAC.md,VIRBAC CORPORATION,VBAC,922814,completed,"Labogroup Holding, Inc.",Virbac S.A.,ok,tender offer,cash,2006-08-08,2006-08-10,2006-10-31,2006-11-01,2006,5.75,5.75,False,22644240.0,130.2,85,84,USD,False,,4.19,4.85,0.3723,0.1856,0.1575,0.4231,1.16,117
vitae_pharmaceuticals_inc_VTAE.md,"Vitae Pharmaceuticals, Inc.",VTAE,1157602,completed,"Augusta Merger Sub, Inc.",Allergan plc,ok,tender offer,cash,2016-09-14,2016-09-13,2016-10-24,2016-10-25,2016,21.0,21.0,False,28844410.0,605.7,41,40,USD,False,,8.63,8.05,1.4334,1.6087,-0.0672,-0.0469,0.67,110
xenoport_inc_XNPT.md,"XENOPORT, INC.",XNPT,1130591,completed,"Arbor Pharmaceuticals, LLC","Arbor Pharmaceuticals, Inc.",ok,tender offer,cash,2016-05-23,2016-05-21,2016-07-01,2016-07-05,2016,7.03,7.03,False,63859099.0,448.9,43,39,USD,False,,4.92,4.4,0.4289,0.5977,-0.1057,-0.2464,0.52,111
y_mabs_therapeutics_inc_YMAB.md,"Y-mAbs Therapeutics, Inc.",YMAB,1722964,completed,"Perseus BidCo US, Inc.",SERB Pharmaceuticals (Stark International Lux),ok,tender offer,cash,2025-08-05,2025-08-04,2025-09-15,2025-09-16,2025,8.6,8.6,False,45438420.0,390.8,42,41,USD,False,,4.3,4.53,1.0,0.8985,0.0535,0.0535,0.87,111
zogenix_inc_zgnx.md,"ZOGENIX, INC.",ZGNX,1375151,completed,UCB S.A.,"UCB S.A. (société anonyme formed under the laws of Belgium; principal executive office: Allée de la Recherche, 60, 1070 Brussels, Belgium)",ok,tender offer,cash + CVR,2022-01-19,2022-01-18,2022-03-04,2022-03-07,2022,26.0,28.0,True,56125822.0,1459.3,47,44,USD,False,,13.98,15.93,0.8598,0.6321,0.1395,0.1622,1.06,115
zs_pharma_inc_ZSPH.md,"ZS Pharma, Inc.",ZSPH,1459266,completed,Zeneca Inc.,AstraZeneca PLC,ok,tender offer,cash,2015-11-06,2015-11-05,2015-12-16,2015-12-17,2015,90.0,90.0,False,25268932.0,2274.2,41,40,USD,False,,66.89,65.01,0.3455,0.3844,-0.0281,-0.0814,1.04,79
zymogenetics_inc_ZGEN.md,"ZYMOGENETICS, INC.",ZGEN,1129425,completed,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,ok,tender offer,cash,2010-09-07,2010-09-07,2010-10-07,2010-10-12,2010,9.75,9.75,False,86584072.0,844.2,35,30,USD,False,,4.08,5.51,1.3897,0.7695,0.3505,0.2522,1.21,110
